Y,X,id,obstimeJST,type
35.728,138.689,nowc_20240807070000_20240807070000_liden_92,2024/08/07 15:56:45.160,0
35.669,138.608,nowc_20240807070000_20240807070000_liden_93,2024/08/07 15:56:45.910,0
36.783,139.477,nowc_20240807070000_20240807070000_liden_94,2024/08/07 15:56:48.050,0
36.69,139.724,nowc_20240807070000_20240807070000_liden_95,2024/08/07 15:56:48.240,1
40.342,140.707,nowc_20240807070000_20240807070000_liden_96,2024/08/07 15:56:50.490,0
36.703,139.596,nowc_20240807070000_20240807070000_liden_97,2024/08/07 15:56:52.250,0
36.502,139.617,nowc_20240807070000_20240807070000_liden_98,2024/08/07 15:56:52.640,0
35.799,138.708,nowc_20240807070000_20240807070000_liden_99,2024/08/07 15:56:53.640,1
35.699,138.653,nowc_20240807070000_20240807070000_liden_100,2024/08/07 15:56:53.730,0
35.837,138.79,nowc_20240807070000_20240807070000_liden_101,2024/08/07 15:56:53.840,0
35.997,138.851,nowc_20240807070000_20240807070000_liden_102,2024/08/07 15:56:56.050,0
38.244,140.177,nowc_20240807070000_20240807070000_liden_103,2024/08/07 15:56:56.870,1
38.161,140.102,nowc_20240807070000_20240807070000_liden_104,2024/08/07 15:56:57.050,0
38.249,140.184,nowc_20240807070000_20240807070000_liden_105,2024/08/07 15:56:57.520,0
38.111,140.43,nowc_20240807070000_20240807070000_liden_106,2024/08/07 15:56:57.660,1
36.487,139.601,nowc_20240807070000_20240807070000_liden_107,2024/08/07 15:56:57.890,0
36.504,139.665,nowc_20240807070000_20240807070000_liden_108,2024/08/07 15:57:00.730,0
36.633,139.671,nowc_20240807070000_20240807070000_liden_109,2024/08/07 15:57:02.270,1
35.725,138.662,nowc_20240807070000_20240807070000_liden_110,2024/08/07 15:57:05.190,1
36.498,139.608,nowc_20240807070000_20240807070000_liden_111,2024/08/07 15:57:05.330,0
36.788,139.425,nowc_20240807070000_20240807070000_liden_112,2024/08/07 15:57:05.890,0
36.504,139.661,nowc_20240807070000_20240807070000_liden_113,2024/08/07 15:57:06.290,1
40.111,140.834,nowc_20240807070000_20240807070000_liden_114,2024/08/07 15:57:06.690,0
38.247,140.463,nowc_20240807070000_20240807070000_liden_115,2024/08/07 15:57:08.830,0
40.309,140.755,nowc_20240807070000_20240807070000_liden_116,2024/08/07 15:57:11.740,0
39.346,141.441,nowc_20240807070000_20240807070000_liden_117,2024/08/07 15:57:12.390,0
38.159,140.129,nowc_20240807070000_20240807070000_liden_118,2024/08/07 15:57:12.530,0
38.104,140.079,nowc_20240807070000_20240807070000_liden_119,2024/08/07 15:57:12.570,0
36.726,139.801,nowc_20240807070000_20240807070000_liden_120,2024/08/07 15:57:16.670,0
35.709,138.602,nowc_20240807070000_20240807070000_liden_121,2024/08/07 15:57:17.390,0
35.747,138.616,nowc_20240807070000_20240807070000_liden_122,2024/08/07 15:57:21.550,0
35.686,138.577,nowc_20240807070000_20240807070000_liden_123,2024/08/07 15:57:21.580,0
